PARCELSIZE,BLDGSIZE,BLDGTOTVAL,AGE_2014,X_COORD,Y_COORD,SITEADDR,TLID,FIPS,DEMOLISHED,WSAddr,WScore,WSDesc,TScore,TSDesc,Total.Pop,Pop.Density,Median.Hhld.Income,Pct.White.Alone,Pct.Black.Alone,Pct.Asian.Alone,Pct.Renter.Occ,Median.Year.Built,Median.Gross.Rent.Pct.Inc,BLDGSIZE.thous,PARCELSIZE.sqft,COVERAGE
1.0046541,1456,0.21393502559281313,23,7638304,655404,"11575 SW 16TH DR, UN A",1S1E33BD  -00700,410510064022,1,"11575 SW 16TH DR, UN A",13,Car-Dependent,14,Minimal Transit,2735,2003.253,120163,89.50639853747715,0,4.16819012797075,7.979274611398964,1979,26.799999239999998,1.456,2.3063684573002756e-5,63129548.767083116
0.68872831,2088,0.42515988318361614,65,7634519,655487,3344 SW PALATINE ST,1S1E32AC  -01300,410510064022,1,3344 SW PALATINE ST,23,Car-Dependent,27,Some Transit,2735,2003.253,120163,89.50639853747715,0,4.16819012797075,7.979274611398964,1979,26.799999239999998,2.088,1.581102640036731e-5,132059737.75057976
0.28609979,1497,0.22491575171214262,61,7630140,655489,11406 SW 51ST AVE,1S1E31AC  -00800,410510064033,1,11406 SW 51ST AVE,54,Somewhat Walkable,40,Some Transit,1051,5394.226,65769,54.138915318744054,23.40627973358706,14.747859181731684,50.797872340425535,1974,28.39999962,1.497,6.567947428833793e-6,227925088.65525556
0.57325447,2968,0.5821185617103984,59,7640838,655670,810 SW PALATINE ST,1S1E33AB  -03500,410510064022,1,810 SW PALATINE ST,6,Car-Dependent,15,Minimal Transit,2735,2003.253,120163,89.50639853747715,0,4.16819012797075,7.979274611398964,1979,26.799999239999998,2.968,1.3160111799816344e-5,225529998.92002589
0.52135126,1936,0.4818385264245137,29,7638735,655963,11062 SW 16TH DR,1S1E33BA  -03400,410510064022,1,11062 SW 16TH DR,12,Car-Dependent,16,Minimal Transit,2735,2003.253,120163,89.50639853747715,0,4.16819012797075,7.979274611398964,1979,26.799999239999998,1.936,1.196857805325987e-5,161756893.03982887
0.44050157,5575,0.6351154116438726,6,7645791,656336,10918 SW ESQUILINE CIRCUS,1S1E34AB  -02100,410510063001,1,10918 SW ESQUILINE CIRCUS,8,Car-Dependent,28,Some Transit,1949,1475.407,113333,83.53001539250899,0.5643919958953308,5.797845048742945,17.429577464788732,1953,43.29999924,5.575,1.0112524563820018e-5,551296559.5105598
0.17386805,2674,0.5870445344129555,66,7633741,656440,11004 SW 37TH AVE,1S1E32BA  -01800,410510064032,1,11004 SW 37TH AVE,38,Car-Dependent,35,Some Transit,2337,6993.4,57212,73.72700042789901,18.185708172871202,5.0919982884039365,48.79120879120879,1978,33.40000153,2.674,3.9914612029384756e-6,669930099.29081285
0.10903878,2214,0.6351359534911888,5,7626546,656438,11047 SW 64TH AVE,1S1E31BB  -12600,410510065012,1,11047 SW 64TH AVE,49,Car-Dependent,38,Some Transit,2191,4288.419,72167,86.76403468735737,2.5102692834322227,1.4148790506617983,24.51403887688985,1971,28.299999239999998,2.214,2.503185950413223e-6,884472845.3491502
0.11676282,1047,0.42072877607922315,67,7626531,656813,10945 SW 64TH AVE,1S1E31BB  -11900,410510065012,1,10945 SW 64TH AVE,44,Car-Dependent,37,Some Transit,2191,4288.419,72167,86.76403468735737,2.5102692834322227,1.4148790506617983,24.51403887688985,1971,28.299999239999998,1.047,2.6805055096418735e-6,390597966.0306251
0.23329084,1040,0.42168338907469344,87,7627322,656808,10931 SW 61ST AVE,1S1E31BB  -03200,410510065012,1,10931 SW 61ST AVE,33,Car-Dependent,38,Some Transit,2191,4288.419,72167,86.76403468735737,2.5102692834322227,1.4148790506617983,24.51403887688985,1971,28.299999239999998,1.04,5.355620752984389e-6,194188507.35845438
0.94165183,1392,0.15326661419093668,81,7641241,657025,10654 SW BOONES FERRY RD,1S1E28DD  -05200,410510063002,1,10654 SW BOONES FERRY RD,10,Car-Dependent,19,Minimal Transit,1760,1270.712,171875,84.7159090909091,0.17045454545454544,6.534090909090909,6.25,1972,10,1.392,2.161735146923783e-5,64392717.21056391
