disasterNumber,state,county,city,zipCode,totalValidRegistrations,validCallCenterRegistrations,validWebRegistrations,validMobileRegistrations,ihpReferrals,ihpEligible,ihpAmount,haReferrals,haEligible,haAmount,onaReferrals,onaEligible,onaAmount,id
4399,FL,"Bay County, Florida",DESTIN,32541,2,0,1,1,2,0,0,2,0,0,1,0,0,6210b8ca835fa6921ac1e3c6
4399,FL,"Bay County, Florida",FOUNTAIN,32466,1,1,0,0,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e3cc
4399,FL,"Bay County, Florida",LYNNHAVEN,32401,1,1,0,0,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e3d6
4399,FL,"Bay County, Florida",MIRAMAR BEACH,32550,1,1,0,0,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e3dc
4399,FL,"Bay County, Florida",PANAMA,32401,5,0,2,3,5,2,13328.79,5,2,11582.57,3,2,1746.22,6210b8ca835fa6921ac1e3e3
4399,FL,"Bay County, Florida",PANAMA,32409,2,0,0,2,2,1,1734,2,1,1734,1,0,0,6210b8ca835fa6921ac1e3e6
4399,FL,"Bay County, Florida",PANAMA CIT,32404,1,0,0,1,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e3e9
4399,FL,"Bay County, Florida",PANAMA CITY,32301,1,0,0,1,1,0,0,0,0,0,1,0,0,6210b8ca835fa6921ac1e3ed
4399,FL,"Bay County, Florida",PANAMA CITY,32403,267,63,98,106,236,63,187372.29,229,58,152063.46,78,18,35308.83,6210b8ca835fa6921ac1e3f2
4399,FL,"Bay County, Florida",PANAMA CITY,32404,14272,7341,3176,3755,13532,5345,29328312.04,13416,4745,23318967.94,5932,2845,6009344.1,6210b8ca835fa6921ac1e3f3
4399,FL,"Bay County, Florida",PANAMA CITY,32405,10724,4933,2691,3100,10048,3629,17888466.35,9929,3182,14106290.19,4364,1852,3782176.16,6210b8ca835fa6921ac1e3f4
4399,FL,"Bay County, Florida",PANAMA CITY,32411,7,1,5,1,6,0,0,6,0,0,0,0,0,6210b8ca835fa6921ac1e3f9
4399,FL,"Bay County, Florida",PANAMA CITY,32461,3,0,0,3,3,1,2263.36,2,1,1734,3,1,529.36,6210b8ca835fa6921ac1e3fd
4399,FL,"Bay County, Florida",PANAMA CITY BEACH,32408,1407,176,707,524,1163,173,716392.43,1098,121,612258.19,427,86,104134.24,6210b8ca835fa6921ac1e405
4399,FL,"Bay County, Florida",PANAMA CITY BEACH,32409,1,0,0,1,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e406
4399,FL,"Bay County, Florida",PCB,32408,2,0,0,2,2,0,0,1,0,0,2,0,0,6210b8ca835fa6921ac1e40c
4399,FL,"Bay County, Florida",PORT ST JOE,32410,1,1,0,0,1,1,2890.94,1,1,2890.94,1,0,0,6210b8ca835fa6921ac1e410
4399,FL,"Bay County, Florida",ROSEMARY BCH,32461,3,1,1,1,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e415
4399,FL,"Bay County, Florida",SOUTHPORT,29409,1,0,0,1,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e41b
4399,FL,"Bay County, Florida",SPRINGFIELD,32401,15,8,1,6,15,9,58837.48,15,9,50015.28,10,4,8822.2,6210b8ca835fa6921ac1e41d
4399,FL,"Bay County, Florida",TALLAHASSEE,32312,1,0,1,0,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e420
4399,FL,"Bay County, Florida",VERNON,32462,7,2,3,2,5,2,1530.29,5,1,1110.31,3,2,419.98,6210b8ca835fa6921ac1e426
4399,FL,"Bay County, Florida",YOUNGSTOWN,32466,2112,1175,434,503,2030,1029,5646144.34,2015,939,5011391.57,959,418,634752.77,6210b8ca835fa6921ac1e428
4399,FL,"Calhoun County, Florida",BLOUNTSTOWN,32424,1768,1051,358,359,1634,618,2790299.5,1606,525,2373232.58,768,294,417066.92,6210b8ca835fa6921ac1e430
4399,FL,"Calhoun County, Florida",CRAWFORDVILLE,32327,1,0,1,0,1,0,0,0,0,0,1,0,0,6210b8ca835fa6921ac1e433
4399,FL,"Calhoun County, Florida",FOUNTAIN,32438,74,44,15,15,68,45,289242.1,68,40,243142.9,38,18,46099.2,6210b8ca835fa6921ac1e435
4399,FL,"Calhoun County, Florida",QUINCY,32351,1,1,0,0,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e43d
4399,FL,"Franklin County, Florida",EASTPOINT,32328,510,252,132,126,388,137,542400.42,364,111,471293.51,163,54,71106.91,6210b8ca835fa6921ac1e445
4399,FL,"Franklin County, Florida",ST GEORGE ISLAND,32328,1,1,0,0,1,0,0,1,0,0,1,0,0,6210b8ca835fa6921ac1e44f
4399,FL,"Gadsden County, Florida",GREENSBORO,32351,37,25,5,7,31,7,13058.78,30,5,11519.28,11,3,1539.5,6210b8ca835fa6921ac1e454
4399,FL,"Gadsden County, Florida",HAVANA,32333,1135,386,413,336,813,180,506247.18,744,123,426388.09,334,92,79859.09,6210b8ca835fa6921ac1e456
4399,FL,"Gadsden County, Florida",MIDWAY,32343,446,138,145,163,330,42,94345.28,296,29,77176.15,132,22,17169.13,6210b8ca835fa6921ac1e459
4399,FL,"Gadsden County, Florida",MOUNT PLEASANT,32352,4,0,2,2,3,1,209.99,3,0,0,2,1,209.99,6210b8ca835fa6921ac1e45a
4399,FL,"Gadsden County, Florida",MT PLEASANT,32352,1,1,0,0,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e45b
4399,FL,"Gadsden County, Florida",QUNICY,32352,1,0,0,1,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e45f
4399,FL,"Gadsden County, Florida",TALLAHASSEE,32303,2,1,1,0,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e460
4399,FL,"Gulf County, Florida",MEXICO BEACH,32456,203,58,99,46,128,45,443719.9,122,42,386244.93,54,19,57474.97,6210b8ca835fa6921ac1e466
4399,FL,"Gulf County, Florida",PANAMA CITY,32401,1,1,0,0,0,0,0,0,0,0,0,0,0,6210b8ca835fa6921ac1e468
4399,FL,"Gulf County, Florida",PORT SAINT JOE,32457,2,0,0,2,2,1,1279.71,2,1,1279.71,0,0,0,6210b8ca835fa6921ac1e46b
4399,FL,"Gulf County, Florida",PORT ST JOE,32456,2951,1451,992,508,2353,1020,7933889.07,2328,923,6868512.06,901,378,1065377.01,6210b8ca835fa6921ac1e46c
4399,FL,"Holmes County, Florida",NOMA,32425,1,0,0,1,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e480
4399,FL,"Holmes County, Florida",PANAMA CITY,32405,1,1,0,0,1,1,3893.1,1,1,1388,1,1,2505.1,6210b8ca835fa6921ac1e481
4399,FL,"Jackson County, Florida",CHIPLEY,32428,5,2,0,3,4,0,0,4,0,0,1,0,0,6210b8ca835fa6921ac1e48b
4399,FL,"Jackson County, Florida",COTTONDALE,32431,1165,622,252,291,1064,437,1641801.11,1043,359,1408187.71,476,193,233613.4,6210b8ca835fa6921ac1e48c
4399,FL,"Jackson County, Florida",GRACEVILLE,32440,416,178,109,129,318,84,190512.21,294,64,169642.63,131,33,20869.58,6210b8ca835fa6921ac1e48f
4399,FL,"Jackson County, Florida",GREENWOOD,32443,903,542,163,198,816,341,1327099.65,798,290,1140509.92,390,159,186589.73,6210b8ca835fa6921ac1e493
4399,FL,"Jackson County, Florida",JACKSONVILLE,32205,1,0,1,0,1,0,0,0,0,0,1,0,0,6210b8ca835fa6921ac1e496
4399,FL,"Jackson County, Florida",MARIANA,32448,1,1,0,0,1,0,0,1,0,0,0,0,0,6210b8ca835fa6921ac1e49b
4399,FL,"Leon County, Florida",GRETNA,32332,1,1,0,0,1,0,0,1,0,0,1,0,0,6210b8cb835fa6921ac1e4ae
4399,FL,"Jackson County, Florida",MARIANNA,32443,2,1,1,0,1,0,0,1,0,0,0,0,0,6210b8cb835fa6921ac1e4a2
4399,FL,"Jackson County, Florida",MARIANNA,32448,2633,1520,477,636,2441,1078,4423301.98,2382,910,3774470.69,1174,517,648831.29,6210b8cb835fa6921ac1e4a5
4399,FL,"Jackson County, Florida",PONCE DE LEON,32455,1,1,0,0,0,0,0,0,0,0,0,0,0,6210b8cb835fa6921ac1e4a8
4399,FL,"Jackson County, Florida",TALLAHASSEE,32303,1,0,1,0,1,0,0,1,0,0,1,0,0,6210b8cb835fa6921ac1e4aa
4399,FL,"Leon County, Florida",SOUTHPORT,32409,1,0,1,0,1,0,0,1,0,0,1,0,0,6210b8cb835fa6921ac1e4b2
4399,FL,"Leon County, Florida",TALLAHASSEE,32304,1298,236,500,562,675,74,163537.74,496,43,104918.9,372,48,58618.84,6210b8cb835fa6921ac1e4b8
4399,FL,"Leon County, Florida",TALLAHASSEE,32306,1,0,0,1,1,0,0,1,0,0,0,0,0,6210b8cb835fa6921ac1e4ba
4399,FL,"Leon County, Florida",TALLAHASSEE,32308,318,59,152,107,177,13,14449.38,135,10,12300.56,74,4,2148.82,6210b8cb835fa6921ac1e4bc
4399,FL,"Leon County, Florida",TALLAHASSEE,32311,273,48,131,94,160,20,51837.26,129,11,35727.72,66,10,16109.54,6210b8cb835fa6921ac1e4bf
4399,FL,"Leon County, Florida",TALLAHASSEE,32312,506,103,284,119,343,30,45294.36,295,16,38137.6,111,15,7156.76,6210b8cb835fa6921ac1e4c0
4399,FL,"Liberty County, Florida",ALTHA,32421,2,2,0,0,2,0,0,2,0,0,1,0,0,6210b8cb835fa6921ac1e4c8
4399,FL,"Liberty County, Florida",BRISTOL,32321,1127,674,233,220,1000,336,1094214.58,959,265,902263.67,465,163,191950.91,6210b8cb835fa6921ac1e4c9
4399,FL,"Taylor County, Florida",LAKE CITY,32025,1,0,0,1,1,0,0,1,0,0,1,0,0,6210b8cb835fa6921ac1e4ce
4399,FL,"Taylor County, Florida",SALEM,32356,5,2,3,0,5,4,5542.86,5,2,2600,5,3,2942.86,6210b8cb835fa6921ac1e4d2
4399,FL,"Taylor County, Florida",STEINHATCHEE,32359,38,21,3,14,31,8,18767.42,27,6,17195.45,19,3,1571.97,6210b8cb835fa6921ac1e4d3
4399,FL,"Wakulla County, Florida",SOPCHOPPY,32358,87,35,26,26,61,22,53498,56,18,48449.5,24,6,5048.5,6210b8cb835fa6921ac1e4dc
4399,FL,"Washington County, Florida",CHIPLEY,32420,1,0,0,1,1,0,0,1,0,0,0,0,0,6210b8cb835fa6921ac1e4e4
4399,FL,"Washington County, Florida",FOUNTAIN,32438,13,5,2,6,13,6,21685.48,13,6,15474.79,4,3,6210.69,6210b8cb835fa6921ac1e4e8
4399,FL,"Washington County, Florida",PANAMA CITY BEACH,32407,1,1,0,0,0,0,0,0,0,0,0,0,0,6210b8cb835fa6921ac1e4ea
4399,FL,"Washington County, Florida",VERNON,32462,376,177,106,93,309,117,347823.37,291,96,270339.57,158,61,77483.8,6210b8cb835fa6921ac1e4ec
4399,FL,"Washington County, Florida",VERNON,32642,1,0,1,0,1,0,0,1,0,0,0,0,0,6210b8cb835fa6921ac1e4ed
4399,FL,"Washington County, Florida",WAUSAU,32428,16,8,3,5,11,1,250,10,0,0,4,1,250,6210b8cb835fa6921ac1e4ee
4399,FL,"Washington County, Florida",YOUNGSTOWN,32466,43,21,16,6,40,21,72240.29,40,18,60646.88,19,8,11593.41,6210b8cb835fa6921ac1e4f0
4399,FL,"Leon County, Florida",QUINCY,32301,1,0,0,1,0,0,0,0,0,0,0,0,0,6210b8cb835fa6921ac1e4b1
4399,FL,"Leon County, Florida",TALLAHASEE,32303,1,0,1,0,0,0,0,0,0,0,0,0,0,6210b8cb835fa6921ac1e4b3
4399,FL,"Leon County, Florida",TALLAHASSEE,32305,684,226,207,251,463,73,134898.13,390,52,109319.9,234,32,25578.23,6210b8cb835fa6921ac1e4b9
4399,FL,"Leon County, Florida",TALLAHASSEE,32307,10,2,2,6,5,0,0,4,0,0,3,0,0,6210b8cb835fa6921ac1e4bb
4399,FL,"Leon County, Florida",TALLAHASSEE,32309,367,76,198,93,227,20,20000.54,192,11,13997.24,77,11,6003.3,6210b8cb835fa6921ac1e4bd
4399,FL,"Leon County, Florida",TALLHASSEE,32303,1,0,1,0,0,0,0,0,0,0,0,0,0,6210b8cb835fa6921ac1e4c4
4399,FL,"Leon County, Florida",TALLHASSEE,32310,1,0,0,1,0,0,0,0,0,0,0,0,0,6210b8cb835fa6921ac1e4c5
4399,FL,"Liberty County, Florida",HOSFORD,32334,250,127,55,68,200,59,147993,188,42,127258.75,85,29,20734.25,6210b8cb835fa6921ac1e4cb
4399,FL,"Taylor County, Florida",GREENVILLE,32331,6,3,1,2,4,1,2616.8,4,1,2616.8,0,0,0,6210b8cb835fa6921ac1e4cd
4399,FL,"Wakulla County, Florida",CRAWFORDVILLE,32326,1,0,0,1,0,0,0,0,0,0,0,0,0,6210b8cb835fa6921ac1e4d6
4399,FL,"Wakulla County, Florida",SANTA ROSA BEACH,32459,1,0,0,1,1,0,0,1,0,0,0,0,0,6210b8cb835fa6921ac1e4db
4399,FL,"Wakulla County, Florida",WAKULLA SPRINGS,32305,5,0,2,3,3,0,0,0,0,0,3,0,0,6210b8cb835fa6921ac1e4de
4399,FL,"Washington County, Florida",BONIFAY,32425,72,28,21,23,54,13,49230.62,48,10,46728.91,16,4,2501.71,6210b8cb835fa6921ac1e4e1
4399,FL,"Washington County, Florida",CARYVILLE,32427,114,61,20,33,86,28,72495.27,73,18,66196.37,47,12,6298.9,6210b8cb835fa6921ac1e4e3
4399,FL,"Washington County, Florida",NICEVILLE,32578,1,1,0,0,0,0,0,0,0,0,0,0,0,6210b8cb835fa6921ac1e4e9
4399,FL,"Washington County, Florida",SUNNY HILLS,32428,3,2,0,1,3,0,0,3,0,0,0,0,0,6210b8cb835fa6921ac1e4eb
4399,FL,"Jackson County, Florida",MARIANNA,32446,2632,1332,599,701,2357,691,2164875.9,2301,579,1814356.17,917,282,350519.73,6210b8cb835fa6921ac1e4a3
4399,FL,"Jackson County, Florida",MARIANNA,32447,1,0,1,0,1,0,0,1,0,0,0,0,0,6210b8cb835fa6921ac1e4a4
4399,FL,"Jackson County, Florida",MARIANNA,32453,1,0,0,1,1,0,0,1,0,0,1,0,0,6210b8cb835fa6921ac1e4a6
4399,FL,"Jackson County, Florida",MARIANNA,32466,1,0,0,1,1,1,1212,1,1,1212,0,0,0,6210b8cb835fa6921ac1e4a7
4399,FL,"Jackson County, Florida",SNEADS,32460,1049,560,226,263,964,337,1324297.82,942,293,1202987.19,389,113,121310.63,6210b8cb835fa6921ac1e4a9
4399,FL,"Jackson County, Florida",TAMPA,33610,1,0,1,0,1,0,0,0,0,0,1,0,0,6210b8cb835fa6921ac1e4ac
4399,FL,"Jackson County, Florida",VERNON,32462,1,0,0,1,0,0,0,0,0,0,0,0,0,6210b8cb835fa6921ac1e4ad
4399,FL,"Leon County, Florida",PERRY,32347,1,0,1,0,0,0,0,0,0,0,0,0,0,6210b8cb835fa6921ac1e4b0
4399,FL,"Leon County, Florida",TALLAHASSEE,32303,1833,363,792,678,1057,125,281297.38,798,66,197997.89,488,75,83299.49,6210b8cb835fa6921ac1e4b7
4399,FL,"Leon County, Florida",TALLAHASSEE,32315,1,0,1,0,1,0,0,1,0,0,0,0,0,6210b8cb835fa6921ac1e4c1
4399,FL,"Leon County, Florida",TALLAHASSEE,32317,143,34,70,39,85,8,4997.12,71,3,2509.36,28,5,2487.76,6210b8cb835fa6921ac1e4c2
4399,FL,"Leon County, Florida",TALLAHASSEE,35304,1,0,0,1,1,0,0,1,0,0,0,0,0,6210b8cb835fa6921ac1e4c3
4399,FL,"Liberty County, Florida",CHATTAHOOCHEE,32324,1,1,0,0,1,0,0,1,0,0,0,0,0,6210b8cb835fa6921ac1e4ca
4399,FL,"Taylor County, Florida",LAMONT,32336,9,2,4,3,7,6,30286.34,7,5,25732.28,2,2,4554.06,6210b8cb835fa6921ac1e4cf
4399,FL,"Wakulla County, Florida",ALLIGATOR POINT,32346,2,0,2,0,0,0,0,0,0,0,0,0,0,6210b8cb835fa6921ac1e4d5
4399,FL,"Washington County, Florida",ALFORD,32420,10,6,0,4,10,5,12585.58,9,5,12585.58,3,0,0,6210b8cb835fa6921ac1e4e0
4399,FL,"Washington County, Florida",CARYVILLE,32425,3,0,1,2,2,0,0,1,0,0,1,0,0,6210b8cb835fa6921ac1e4e2
4399,FL,"Washington County, Florida",COTTONDALE,32431,97,45,21,31,85,40,110561.31,83,38,104134.51,36,14,6426.8,6210b8cb835fa6921ac1e4e6
4399,FL,"Jackson County, Florida",TALLAHASSEE,32312,1,0,0,1,1,0,0,1,0,0,1,0,0,6210b8cb835fa6921ac1e4ab
4399,FL,"Leon County, Florida",MIDWAY,32343,1,0,0,1,1,0,0,1,0,0,1,0,0,6210b8cb835fa6921ac1e4af
4399,FL,"Leon County, Florida",TALLAHASEE,32304,1,0,1,0,0,0,0,0,0,0,0,0,0,6210b8cb835fa6921ac1e4b4
4399,FL,"Leon County, Florida",TALLAHASEE,32310,1,0,0,1,1,0,0,1,0,0,1,0,0,6210b8cb835fa6921ac1e4b5
4399,FL,"Leon County, Florida",TALLAHASSEE,32301,798,136,312,350,398,34,73689,284,21,39683.46,221,22,34005.54,6210b8cb835fa6921ac1e4b6
4399,FL,"Leon County, Florida",TALLAHASSEE,32310,746,208,258,280,510,77,138625.69,415,54,118984.62,242,34,19641.07,6210b8cb835fa6921ac1e4be
4399,FL,"Leon County, Florida",WAKULLA SPRINGS,32305,4,0,2,2,4,1,1914,3,1,1914,2,0,0,6210b8cb835fa6921ac1e4c6
4399,FL,"Leon County, Florida",WOODVILLE,32305,16,12,3,1,11,2,2904.35,11,2,2372.56,4,1,531.79,6210b8cb835fa6921ac1e4c7
4399,FL,"Liberty County, Florida",TELOGIA,32360,17,13,2,2,14,2,3065.53,13,1,2060.01,5,2,1005.52,6210b8cb835fa6921ac1e4cc
4399,FL,"Taylor County, Florida",PERRY,32347,33,8,7,18,19,5,5749.14,15,1,2358.86,14,5,3390.28,6210b8cb835fa6921ac1e4d0
4399,FL,"Taylor County, Florida",PERRY,32348,93,38,29,26,75,20,31965.7,65,14,27588.71,34,6,4376.99,6210b8cb835fa6921ac1e4d1
4399,FL,"Wakulla County, Florida",1646 CRAWFORDVILLE,32327,1,0,0,1,0,0,0,0,0,0,0,0,0,6210b8cb835fa6921ac1e4d4
4399,FL,"Wakulla County, Florida",CRAWFORDVILLE,32327,928,334,343,251,643,197,804525.39,557,157,675924.48,261,84,128600.91,6210b8cb835fa6921ac1e4d7
4399,FL,"Wakulla County, Florida",OCHLOCKONEE BAY,32346,3,0,3,0,3,0,0,3,0,0,3,0,0,6210b8cb835fa6921ac1e4d8
4399,FL,"Wakulla County, Florida",PANACEA,32346,241,124,73,44,180,86,354239.41,171,73,290613.73,68,31,63625.68,6210b8cb835fa6921ac1e4d9
4399,FL,"Wakulla County, Florida",SAINT MARKS,32355,67,27,19,21,56,40,220047.7,56,35,185450.34,26,15,34597.36,6210b8cb835fa6921ac1e4da
4399,FL,"Wakulla County, Florida",TALLAHASSEE,32305,1,1,0,0,1,0,0,1,0,0,0,0,0,6210b8cb835fa6921ac1e4dd
4399,FL,"Wakulla County, Florida",WEST PALM BEACH,33409,1,1,0,0,0,0,0,0,0,0,0,0,0,6210b8cb835fa6921ac1e4df
4399,FL,"Washington County, Florida",CHIPLEY,32428,2368,1092,609,667,1986,570,1821395.84,1859,447,1555462.87,866,281,265932.97,6210b8cb835fa6921ac1e4e5
4399,FL,"Washington County, Florida",EBRO,32437,46,16,10,20,32,21,74331.01,31,20,66194.31,17,7,8136.7,6210b8cb835fa6921ac1e4e7
4399,FL,"Washington County, Florida",WAUSAU,32463,7,1,3,3,6,1,463.85,6,0,0,4,1,463.85,6210b8cb835fa6921ac1e4ef
