GeoType,GeogName,GeoID,Borough,Pop_1E,Pop65pl1E,Pop65pl1C,MdAgeE
NTA2010,Maspeth,QN30,Queens,"29,111","3,769",4.7,38.9
NTA2010,Middle Village,QN21,Queens,"38,033","7,384",3.9,43.5
NTA2010,Murray Hill,QN51,Queens,"52,659","9,190",4.0,43.4
NTA2010,North Corona,QN26,Queens,"54,677","3,437",7.2,30.2
NTA2010,Oakland Gardens,QN42,Queens,"28,669","5,168",4.7,43.9
NTA2010,Old Astoria,QN71,Queens,"28,110","3,151",7.9,34.2
NTA2010,Ozone Park,QN56,Queens,"23,415","2,448",6.8,37.1
NTA2010,park-cemetery-etc-Queens,QN99,Queens,366,101,20.7,40.8
NTA2010,Pomonok-Flushing Heights-Hillcrest,QN38,Queens,"36,416","4,677",6.6,36.1
NTA2010,Queens Village,QN34,Queens,"54,732","7,443",3.7,39.9
NTA2010,Queensboro Hill,QN62,Queens,"21,460","3,128",6.5,39.9
NTA2010,Queensbridge-Ravenswood-Long Island City,QN68,Queens,"18,927","2,023",9.1,35.6
NTA2010,Rego Park,QN18,Queens,"28,106","5,377",4.9,44.3
NTA2010,Richmond Hill,QN54,Queens,"68,275","6,496",3.9,34.4
NTA2010,Ridgewood,QN20,Queens,"72,964","6,127",5.2,33.7
NTA2010,Rosedale,QN05,Queens,"27,462","2,862",7.5,35.7
NTA2010,South Jamaica,QN01,Queens,"41,606","4,241",5.1,33.6
NTA2010,South Ozone Park,QN55,Queens,"85,411","8,906",3.6,37.0
NTA2010,Springfield Gardens North,QN02,Queens,"27,577","4,357",7.1,39.0
NTA2010,Springfield Gardens South-Brookville,QN03,Queens,"21,900","2,536",7.4,34.2
NTA2010,St. Albans,QN08,Queens,"54,626","7,175",3.5,38.0
NTA2010,Steinway,QN72,Queens,"48,179","6,156",4.6,35.6
NTA2010,Whitestone,QN49,Queens,"31,090","6,533",5.0,43.7
NTA2010,Woodhaven,QN53,Queens,"62,821","6,375",4.3,35.5
NTA2010,Woodside,QN63,Queens,"45,702","6,341",5.1,38.1
NTA2010,Annadale-Huguenot-Prince's Bay-Eltingville,SI01,Staten Island,"28,698","4,948",3.7,42.8
NTA2010,Arden Heights,SI48,Staten Island,"26,482","3,647",5.6,40.0
NTA2010,Charleston-Richmond Valley-Tottenville,SI11,Staten Island,"24,794","2,844",6.7,38.1
NTA2010,Grasmere-Arrochar-Ft. Wadsworth,SI14,Staten Island,"15,896","2,223",5.7,40.0
NTA2010,Great Kills,SI54,Staten Island,"43,602","7,128",3.9,42.4
NTA2010,Grymes Hill-Clifton-Fox Hills,SI08,Staten Island,"21,636","2,479",8.6,33.5
NTA2010,Mariner's Harbor-Arlington-Port Ivory-Graniteville,SI12,Staten Island,"29,956","2,956",6.1,33.1
NTA2010,New Brighton-Silver Lake,SI35,Staten Island,"18,083","2,365",5.7,39.4
NTA2010,New Dorp-Midland Beach,SI45,Staten Island,"21,358","3,179",5.1,40.1
NTA2010,New Springville-Bloomfield-Travis,SI05,Staten Island,"40,907","6,862",3.8,41.6
NTA2010,Oakwood-Oakwood Beach,SI25,Staten Island,"20,618","4,345",4.4,45.5
NTA2010,Old Town-Dongan Hills-South Beach,SI36,Staten Island,"24,927","3,735",6.7,40.7
NTA2010,park-cemetery-etc-Staten Island,SI99,Staten Island,0,0,,
NTA2010,Port Richmond,SI28,Staten Island,"19,141","2,350",5.8,34.4
NTA2010,Rossville-Woodrow,SI32,Staten Island,"21,397","2,998",7.2,40.5
NTA2010,Stapleton-Rosebank,SI37,Staten Island,"26,247","3,239",5.5,36.0
NTA2010,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,SI24,Staten Island,"32,276","6,052",4.1,43.8
NTA2010,West New Brighton-New Brighton-St. George,SI22,Staten Island,"33,175","3,645",5.3,35.0
